Price,BuyUrl,Title
" 7,799.54",https://www.ebay.in/itm/Genetic-Algorithms-in-Search-Optimization-and-Machine-Learning/122674862385?hash=item1c8ffdd931:g:XeUAAOSwyc1Zpb3s,"Genetic Algorithms in Search, Optimization, and Machine Learning"
" 6,937.80",https://www.ebay.in/itm/Foundations-of-Genetic-Algorithms-1993-FOGA-2-v-2/122773931481?hash=item1c95e585d9:g:zREAAOSwi8xZ8SEe,Foundations of Genetic Algorithms 1993 (FOGA 2) (v. 2)
" 10,029.00",http://www.ebay.in/itm/Genetic-Algorithms-Practical-Applications/252955408749?hash=item3ae551396d:g:BBkAAOSwn-tZJWm~,Genetic Algorithms: Practical Applications
" 11,075.00",http://www.ebay.in/itm/Genetic-Algorithms-Data-Structures-Evolution-Programs/252770324104?hash=item3ada490e88:g:~7EAAOSwr~lYotQG,Genetic Algorithms + Data Structures = Evolution Programs
" 5,918.00",http://www.ebay.in/itm/Genetic-Algorithms-in-Molecular-Modeling-A-Practical-Guide/252578135456?hash=item3aced47da0:g:SeoAAOSw8gVX-4Oj,Genetic Algorithms in Molecular Modeling - A Practical Guide
" 5,696.00",http://www.ebay.in/itm/Genetic-Algorithms-Concepts-and-Designs/252946598893?hash=item3ae4cacbed:g:3Z0AAOSwlMFZHrSr,Genetic Algorithms - Concepts and Designs
" 5,272.00",http://www.ebay.in/itm/Genetic-Algorithms-Data-Structures-Evolution-Programs/252719459096?hash=item3ad740eb18:g:6GEAAOSwnHZYdfOy,Genetic Algorithms + Data Structures = Evolution Programs
" 9,694.00",http://www.ebay.in/itm/Applied-Genetic-Algorithms/252770126156?hash=item3ada46094c:g:aCIAAOSwOgdYoqWC,Applied Genetic Algorithms
" 6,755.00",http://www.ebay.in/itm/Foundations-of-Genetic-Algorithms-1999/252955340044?hash=item3ae5502d0c:g:dDMAAOSwrhBZJVwY,Foundations of Genetic Algorithms 1999
" 6,016.00",http://www.ebay.in/itm/Foundations-of-Genetic-Algorithms-1997/252770184071?hash=item3ada46eb87:g:y4wAAOSw3v5YorRp,Foundations of Genetic Algorithms 1997
